,Aspect_Ratio_H_W,Centroid_X_TV,Centroid_Y_P,Height_P_Range,Hull_Area,P_Max,Perimeter,Polynomial_Area,TV_Max,Width_TV_Range,ft_P_1,ft_P_2,ft_P_3,ft_TV_1,ft_TV_2,ft_TV_3
0,1.6878671627871202,3.435586499999997,2.37495,35.11,416.28792699999997,35.11,109.72995827416459,288.26381599999985,20.801399999999997,20.801399999999997,1899.96,1841.156761847516,1676.5590785346174,2748.4691999999977,973.509451279987,928.0991118567999
1,1.6946889617325331,1.9179154999999923,2.6501375,36.81,463.60090599999995,36.81,139.81334665086962,314.8425899999999,21.720799999999997,21.720799999999997,2120.1099999999997,1999.5627896211415,1679.6147039213697,1534.3323999999936,1365.2916157035877,1245.807707063323
2,1.4101303766256785,5.20811425000001,2.680025,35.0,565.0916370000002,35.0,164.4856923329014,400.41955000000036,24.820400000000006,24.820400000000006,2144.02,2024.9410640537833,1708.0757852453703,4166.491400000007,1169.804443559775,1085.4480017544402
3,4.41514014566321,5.346637499999998,0.6275,40.01,132.27517399999996,40.01,85.33641586902709,57.09189599999996,9.061999999999998,9.061999999999998,502.0,501.5322200592353,500.13083620495684,4277.309999999999,6.439822580078304,7.082924023186279
4,1.882919122309187,9.440504250000005,2.2145875,36.23,408.8639630000001,36.23,123.34540677636306,293.8772740000001,19.241400000000002,19.241400000000002,1771.67,1734.037717547288,1626.197495595874,7552.403400000003,351.45487569138425,348.55498651696115
5,2.5353182221967505,1.0136435,2.175275,35.39,257.28985400000005,35.39,108.46905741460542,145.75752400000005,13.9588,13.9588,1740.22,1708.0068580327916,1615.077848682971,810.9148,745.5108525335775,717.3978217504733
6,2.220992626716251,2.7152042499999993,2.1082750000000003,34.52,277.804068,34.52,109.06744763597159,167.06502299999994,15.5426,15.5426,1686.62,1661.5003129569566,1588.386379542091,2172.1633999999995,636.1420855465265,618.5881018717108
7,1.8928136158566566,3.359406000000003,2.2881375000000004,35.41,378.86002900000005,35.41,121.2009547286212,255.449015,18.707600000000003,18.707600000000003,1830.51,1784.5112044573334,1653.934423940523,2687.5248000000024,830.4965081503378,795.6925108958452
8,2.312278440219143,3.066670749999994,2.2014625,37.31,313.590497,37.31,113.42623466731106,184.30628299999987,16.1356,16.1356,1761.17,1727.415959181803,1630.2641454335765,2453.336599999996,691.4475213236267,667.5318820794546
9,1.8105012076689484,1.68805475,2.6063875000000003,36.13,420.794936,36.13,143.07393350889183,250.66145100000006,19.9558,19.9558,2085.11,1979.4357056018105,1695.6267072223125,1350.4438,1264.29619257901,1168.3590374285072
10,1.4202320492842315,4.994690500000004,2.6784000000000003,35.18,574.7777290000002,35.18,161.35079113927694,402.2070230000003,24.77060000000001,24.77060000000001,2142.7200000000003,2019.2121323409335,1691.594877850631,3995.752400000004,1214.4507535506243,1120.2525926078401
11,1.294641768354646,8.70173075000001,2.3466125,31.85,536.2639620000002,31.85,120.6028315959849,431.5849400000003,24.60140000000001,24.60140000000001,1877.29,1823.542467752613,1672.295264629868,6961.384600000008,651.2805542700582,637.0011044567689
12,3.534523250352279,7.292779499999998,0.6327125,39.13,177.354044,39.13,81.8847351433657,114.03229799999995,11.070799999999998,11.070799999999998,506.17,505.6252092385754,503.9936997525793,5834.223599999999,25.37106937318173,25.593152726882376
