,Breath_ID,Time_Step,Flow,Pressure,Target_Class_0,Target_Class_1,Target_Class_2,Target_Class_3,Target_Class_4,Polynomial_Area,Hull_Area,ft_TV_1,ft_TV_2,ft_TV_3,ft_P_1,ft_P_2,ft_P_3,TV_Max,TV_Min,P_Max,P_Min,Perimeter,Width_TV_Range,Height_P_Range,Centroid_X_TV,Centroid_Y_P,Dynamic_Compliance,Aspect_Ratio_H_W,Curvature
23,23,0,2.05,5.15,0,1,0,0,0,353.43117200000023,474.89064400000024,4420.370200000007,836.1030431703377,806.2010122545908,1847.83,1800.088418621732,1664.925194686151,22.16540000000001,0.0,36.04,0.0,114.43097943744407,22.16540000000001,36.04,5.525462750000006,2.3097875,0.6150221975582688,1.6259575735154783,2.0755237535369693
24,24,0,2.03,5.22,0,0,0,0,0,296.75631,443.1874579999999,1495.0729999999999,1395.3345869620905,1291.5173472147617,2075.2599999999998,1969.6183151458245,1685.7632693743933,22.0048,0.0,35.59,0.0,120.08320338685601,22.0048,35.59,1.8688412499999998,2.5940749999999997,0.618286035403203,1.6173743910419547,2.3418189090745933
25,25,0,2.14,5.21,0,0,0,0,0,165.49554099999992,293.876617,1444.3633999999993,892.5720857109361,843.0214453380623,1973.0,1900.7089027604015,1701.0048217763504,17.6924,0.0,35.39,0.0,130.0139533187525,17.6924,35.39,1.805454249999999,2.46625,0.4999265329189036,2.000293911510027,8.078657798142759
26,26,0,1.97,5.14,0,1,0,0,0,407.0519909999998,547.4710829999999,6736.619799999997,613.0274287320054,601.0880308778161,1858.6599999999999,1808.7603230898767,1667.8146897621207,23.602799999999995,0.0,36.63,0.0,128.4582618905564,23.602799999999995,36.63,8.420774749999994,2.323325,0.6443570843570842,1.5519345162438358,1.7748213903265404
27,27,0,2.07,5.08,0,1,0,0,0,367.15632400000015,500.1625720000002,4707.815000000006,857.5868755151656,825.2766979240656,1888.14,1833.314180934587,1679.2786813852658,22.608200000000007,0.0,36.11,0.0,118.04832591635696,22.608200000000007,36.11,5.884768750000007,2.360175,0.6260924951536972,1.5972080926389536,2.1078705942859854
28,28,0,2.12,5.24,0,1,0,0,0,279.2232650000001,382.57921100000016,2569.3236000000015,948.48022488183,905.428875127643,1844.81,1795.953727235317,1657.7900983283803,19.570800000000002,0.0,33.77,0.0,106.17655373875382,19.570800000000002,33.77,3.2116545000000007,2.3060125,0.5795321291086764,1.7255298710323543,14.169606600647338
29,29,0,2.07,5.22,0,1,0,0,0,383.8465459999998,519.7508549999998,4098.563799999992,1097.5707562810614,1039.1884073558,1963.42,1891.3845003547312,1692.2517313000371,24.779399999999995,0.0,34.64,0.0,114.96471171168545,24.779399999999995,34.64,5.12320474999999,2.4542750000000004,0.7153406466512701,1.3979353818090836,1.5158766896139682
30,30,0,2.1,5.14,0,0,0,0,0,268.76742800000005,410.9389380000001,2071.748600000003,1048.582105544183,992.2922926407192,1958.4500000000003,1889.3647982282043,1697.839248648137,19.936400000000003,0.0,36.73,0.0,140.95659871505518,19.936400000000003,36.73,2.5896857500000032,2.4480625000000003,0.5427824666485164,1.8423587006681243,8.502399611843371
31,31,0,2.03,5.42,0,1,0,0,0,201.7152750000001,326.39043499999997,3267.5040000000035,511.2131037852807,502.4982164976015,1985.35,1909.4390962547523,1700.484702435503,16.103399999999997,0.0,37.04,0.0,146.4393195292615,16.103399999999997,37.04,4.084380000000005,2.4816875,0.43475701943844486,2.30013537513817,7.84921076351723
32,32,0,2.0,5.47,0,1,0,0,0,124.66631500000003,171.82344600000002,4044.2098000000015,138.78331618273012,139.66010700204907,1587.69,1570.0025498931964,1517.9797343074883,10.588400000000002,0.0,31.77,0.0,79.50784625264646,10.588400000000002,31.77,5.055262250000002,1.9846125000000001,0.3332829713566258,3.0004533262815904,2.766091872497677
33,33,0,2.05,5.38,0,1,0,0,0,226.625185,319.0898939999999,3284.569199999998,578.0616577049544,553.3412942084954,1854.98,1802.6118810703995,1655.0654353983693,15.819799999999999,0.0,31.81,0.0,110.37000537095008,15.819799999999999,31.81,4.105711499999997,2.318725,0.4973215969820811,2.010771311900277,1.9346963681477538
34,34,0,1.9,5.26,0,1,0,0,0,247.4460299999999,346.1331579999998,3955.0844,540.9511059968164,521.9143439349368,1813.07,1771.6509141331805,1653.5458862950472,16.594599999999996,0.0,35.31,0.0,121.48011982485556,16.594599999999996,35.31,4.943855499999999,2.2663375,0.46996884735202477,2.1278006098369353,1.9062455870841042
35,35,0,2.17,5.15,0,0,0,0,0,238.29759299999998,358.82428500000003,1347.959400000002,1003.6494560670499,941.6028233689912,1917.81,1853.0625687914128,1672.7479548438992,17.701400000000003,0.0,34.51,0.0,113.75143344280846,17.701400000000003,34.51,1.6849492500000023,2.3972625,0.5129353810489714,1.9495633113765007,1.7773030643788468
